,Name,Author,User Rating,Price,Year,Genre,Unnamed: 0,Reviews
0,test,test,2.7,2,2015,Fiction,,
1,test,test,2.7,2,2015,Fiction,0.0,
2,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,17,2009,Non Fiction,1.0,5013.0
3,Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,5,2009,Non Fiction,2.0,798.0
4,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,13,2009,Fiction,3.0,9769.0
5,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,14,2009,Non Fiction,4.0,1542.0
6,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,4,2009,Fiction,5.0,1541.0
7,Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,15,2009,Fiction,6.0,3837.0
8,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,6,2009,Non Fiction,7.0,37.0
9,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,12,2009,Fiction,8.0,3181.0
10,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,1,2009,Non Fiction,9.0,720.0
11,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,14,2009,Non Fiction,10.0,956.0
12,Eclipse (Twilight Sagas),Stephenie Meyer,4.7,7,2009,Fiction,11.0,5505.0
13,Eclipse (Twilight),Stephenie Meyer,4.7,18,2009,Fiction,12.0,5505.0
14,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,11,2009,Non Fiction,13.0,1365.0
15,Going Rogue: An American Life,Sarah Palin,4.6,6,2009,Non Fiction,14.0,1636.0
16,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,14,2009,Non Fiction,15.0,3457.0
17,Have a Little Faith: A True Story,Mitch Albom,4.8,4,2009,Non Fiction,16.0,1930.0
18,"I, Alex Cross",James Patterson,4.6,7,2009,Fiction,17.0,1320.0
19,Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,15,2009,Non Fiction,18.0,3828.0
20,"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,27,2009,Non Fiction,19.0,2926.0
21,New Moon (The Twilight Saga),Stephenie Meyer,4.6,10,2009,Fiction,20.0,5680.0
22,Olive Kitteridge,Elizabeth Strout,4.2,12,2009,Fiction,21.0,4519.0
23,Outliers: The Story of Success,Malcolm Gladwell,4.6,20,2009,Non Fiction,22.0,10426.0
24,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,46,2009,Non Fiction,23.0,8580.0
25,Sookie Stackhouse,Charlaine Harris,4.7,25,2009,Fiction,24.0,973.0
26,StrengthsFinder 2.0,Gallup,4.0,17,2009,Non Fiction,25.0,5069.0
27,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,18,2009,Non Fiction,26.0,1583.0
28,The 5000 Year Leap,W. Cleon Skousen,4.8,12,2009,Non Fiction,27.0,1680.0
29,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,24,2009,Non Fiction,28.0,9325.0
30,The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,53,2009,Non Fiction,29.0,858.0
31,The Elegance of the Hedgehog,Muriel Barbery,4.0,11,2009,Fiction,30.0,1859.0
32,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,6,2009,Non Fiction,31.0,3207.0
33,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,9,2009,Non Fiction,32.0,803.0
34,The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,16,2009,Fiction,33.0,7251.0
35,The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,2,2009,Fiction,34.0,10559.0
36,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,10,2009,Fiction,35.0,8587.0
37,The Help,Kathryn Stockett,4.8,6,2009,Fiction,36.0,13871.0
38,The Last Lecture,Randy Pausch,4.7,9,2009,Non Fiction,37.0,4028.0
39,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,7,2009,Fiction,38.0,4628.0
40,The Lost Symbol,Dan Brown,4.2,19,2009,Fiction,39.0,8747.0
41,The Love Dare,Stephen Kendrick,4.8,13,2009,Non Fiction,40.0,1655.0
42,The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,8,2009,Fiction,41.0,19720.0
43,The Time Traveler's Wife,Audrey Niffenegger,4.4,6,2009,Fiction,42.0,3759.0
44,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,9,2009,Non Fiction,43.0,3503.0
45,The Twilight Saga Collection,Stephenie Meyer,4.7,82,2009,Fiction,44.0,3801.0
46,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,11,2009,Non Fiction,45.0,3319.0
